mRawDataId	mImpressionGuid	mTrafficType	mSRBestDisplayText	mSRBestLexicalForm	mSRLexicalFormN	mSRDeviceLexicalFormN	mSRDisplayTextN	mSRDeviceDisplayTextN	mLUDomain	mLUIntent	mLUNormalizedQuery	mSREngineConfidenceN	mSREngineAMScoreN	mSREngineLMScoreN	mSRArbitrationResult	mClientId	mInputMethod	mQueryRequestTime	mSRLocale	AltRank	ITNRank	LMScore	AMScore	ruleTraversalN	HomophoneGroupIdN	mCUServiceClientInstDeviceInfoManufacturer	ErrorType	isReranked	1stPassResult	mSRLexicalFormRule	mSRLexicalFormRuleRank	SameResult	HomophoneGroupIdMatch	Audio_hyperlink
0059973D2CFBF8A490C32E76A493BEE3	2D58C96C781749989883DD4774745CEF	Untagged	hey cortana call skype	hey cortana call skype	hey cortana call skype#TAB#hey cortana call skype#TAB#hey cortana call Skype		hey cortana call skype#TAB#hey cortana call skype#TAB#hey cortana call Skype					0.8251226#TAB#0.7329367#TAB#0.7329367	857.175537#TAB#857.175537#TAB#857.175537	-192.652069#TAB#-198.456375#TAB#-216.518372	Default	2DA159B391354761B63BA6CF05222628	Voice	2017-05-02 18:46:20	en-US	0	0	-4436199.5	19738184.0	(loop,(Cortana_SpeakerAdapt_20170208,))#TAB#(loop,(ULM_AllFlavor_20170322,))#TAB#(loop,(Cortana_SpeakerAdapt_20170208,(CONTACT_NAME,(RootRule,))))	0#TAB#0#TAB#0	Harman Kardon	1best_Nbest_single	False	hey cortana call skype	hey cortana call Skype	3	True	True	./audio_423/0059973D2CFBF8A490C32E76A493BEE3.wav
0077755B48912DF49481965318B973FF	4FF188F7773948A594E0BDC6AE37E71F	Untagged	hey cortana call michael	hey cortana call michael	hey cortana call michael#TAB#hey cortana call michael#TAB#hey cortana call michael#TAB#hey cortana call michael#TAB#hey cortana call Michael		hey cortana call michael#TAB#hey cortana call michael#TAB#hey cortana call michael#TAB#hey cortana call michael#TAB#hey cortana call Michael					0.893660367#TAB#0.7845516#TAB#0.784386635#TAB#0.784386635#TAB#0.7833765	1395.96814#TAB#1395.96814#TAB#1395.96814#TAB#1395.96814#TAB#1395.96814	-175.408234#TAB#-214.494278#TAB#-226.000092#TAB#-226.271683#TAB#-249.294937	Default	3F3F5C4AADC8634F337356C6ACDB6201	Voice	2017-05-23 19:52:44	en-US	0	0	-4039126.0	32144962.0	(loop,(ULM_AllFlavor_20170425,))#TAB#(loop,(Cortana_SpeakerAdapt_20170515,(FIRSTNAME0,)))#TAB#(loop,(Cortana_SpeakerAdapt_20170515,))#TAB#(loop,(Cortana_SpeakerAdapt_20170515,))#TAB#(loop,(Cortana_SpeakerAdapt_20170515,(CONTACT_NAME,(RootRule,))))	0#TAB#0#TAB#0#TAB#0#TAB#0	Harman Kardon	1best_Nbest_single	False	hey cortana call michael	hey cortana call Michael	5	True	True	./audio_423/0077755B48912DF49481965318B973FF.wav
00ADAA5BDC7688B480BA9451692D3E43	0C6C96FE01F04F0DB4E8E3D1D84F02BE	Untagged	hey cortana call AJ	hey cortana call AJ	hey cortana call AJ#TAB#hey cortana call AJ#TAB#hey cortana call AJ#TAB#hey cortana call aj		hey cortana call AJ#TAB#hey cortana call AJ#TAB#hey cortana call AJ#TAB#hey cortana call aj					0.9139095#TAB#0.81734556#TAB#0.8165125#TAB#0.8039361	1462.39453#TAB#1462.39453#TAB#1462.39453#TAB#1462.39453	-200.355377#TAB#-245.169235#TAB#-259.165741#TAB#-277.782	Default	0D56C3317EDF4412B5D7F055C7932FA4	Voice	2017-05-07 09:57:43	en-US	0	0	-4613583.5	33674564.0	(loop,(ULM_AllFlavor_20170322,))#TAB#(loop,(Cortana_SpeakerAdapt_20170505,))#TAB#(loop,(Cortana_SpeakerAdapt_20170505,(CONTACT_NAME,(RootRule,))))#TAB#(loop,(ULM_AllFlavor_20170322,))	0#TAB#0#TAB#0#TAB#0	Harman Kardon	1best_Nbest_single	False	hey cortana call AJ	hey cortana call AJ	3	True	True	./audio_423/00ADAA5BDC7688B480BA9451692D3E43.wav
0171BC1D5B6AD014AFBE12A9C90A534D	9B687F5DA79C4791BA84FE18C1E00DDC	Untagged	hey cortana call river	hey cortana call river	hey cortana call river#TAB#hey cortana call river#TAB#hey cortana call river#TAB#hey cortana call reva#TAB#hey cortana call revu		hey cortana call river#TAB#hey cortana call river#TAB#hey cortana call river#TAB#hey cortana call reva#TAB#hey cortana call revu					0.860062242#TAB#0.797698#TAB#0.797698#TAB#0.684416533#TAB#0.684416533	1261.26367#TAB#1260.85693#TAB#1260.85693#TAB#1245.2677#TAB#1307.90894	-222.732162#TAB#-254.176#TAB#-259.8402#TAB#-245.677612#TAB#-311.7255	Default	DC22EC8B1A1344EBBD5206751B77CFDC	Voice	2017-05-22 03:57:15	en-US	0	0	-5128854.0	29043122.0	(loop,(ULM_AllFlavor_20170425,))#TAB#(loop,(Cortana_SpeakerAdapt_20170520,(CONTACT_NAME,(RootRule,))))#TAB#(loop,(Cortana_SpeakerAdapt_20170520,))#TAB#(loop,(ULM_AllFlavor_20170425,))#TAB#(loop,(ULM_AllFlavor_20170425,))	0#TAB#0#TAB#0#TAB#1#TAB#2	Harman Kardon	1best_Nbest_single	False	hey cortana call river	hey cortana call river	2	True	True	./audio_423/0171BC1D5B6AD014AFBE12A9C90A534D.wav
0197DA6C3F0CBF24ACC2DE26ECBB8A3A	1DB6D2CF768A419AA0673A93658FCB58	Untagged	hey cortana skype echo	hey cortana skype echo	hey cortana skype echo#TAB#hey cortana skype Echo		hey cortana skype echo#TAB#hey cortana skype Echo					0.8397056#TAB#0.727277	1478.08582#TAB#1478.08582	-259.958#TAB#-282.948853	Default	48CE9B1715CE40D8AC8F2A5C7FBB9483	Voice	2017-05-16 16:06:44	en-US	0	0	-5986054.0	34035890.0	(loop,(ULM_AllFlavor_20170425,))#TAB#(loop,(Cortana_SpeakerAdapt_20170515,(CONTACT_NAME,(RootRule,))))	0#TAB#0	Harman Kardon	1best_Nbest_single	False	hey cortana skype echo	hey cortana skype Echo	2	True	True	./audio_423/0197DA6C3F0CBF24ACC2DE26ECBB8A3A.wav
02CF12D6CF1234D4A2CB2DED91F5853D	EAD897E271CD4EA8BA56847AF57A5E21	Untagged	hey cortana call river	hey cortana call river	hey cortana call river#TAB#hey cortana call river#TAB#hey cortana call river		hey cortana call river#TAB#hey cortana call river#TAB#hey cortana call river					0.886649132#TAB#0.812877655#TAB#0.812877655	1437.456#TAB#1437.456#TAB#1437.456	-222.732162#TAB#-254.176#TAB#-259.8402	Default	C6F14A27C09B4078AF04B46468FC2061	Voice	2017-05-22 03:56:17	en-US	0	0	-5128854.0	33100306.0	(loop,(ULM_AllFlavor_20170425,))#TAB#(loop,(Cortana_SpeakerAdapt_20170520,(CONTACT_NAME,(RootRule,))))#TAB#(loop,(Cortana_SpeakerAdapt_20170520,))	0#TAB#0#TAB#0	Harman Kardon	1best_Nbest_single	False	hey cortana call river	hey cortana call river	2	True	True	./audio_423/02CF12D6CF1234D4A2CB2DED91F5853D.wav
03F1D3FC1F2486648009328B6CA90B28	4978941ABD9A48378D3310C0D029F461	Untagged	hey cortana call rick	hey cortana call rick	hey cortana call rick#TAB#hey cortana call rick#TAB#hey cortana call ric#TAB#hey cortana call rick#TAB#hey cortana call Rick		hey cortana call rick#TAB#hey cortana call rick#TAB#hey cortana call ric#TAB#hey cortana call rick#TAB#hey cortana call Rick					0.910229#TAB#0.7474039#TAB#0.7474039#TAB#0.7470193#TAB#0.746895552	1536.7981#TAB#1536.7981#TAB#1536.7981#TAB#1536.7981#TAB#1536.7981	-181.862411#TAB#-236.486069#TAB#-242.862656#TAB#-244.268677#TAB#-248.53627	Default	2D32249BA09C45FDADF0C9C35F7D7437	Voice	2017-05-17 07:13:20	en-US	0	0	-4187746.25	35387852.0	(loop,(ULM_AllFlavor_20170425,))#TAB#(loop,(Cortana_SpeakerAdapt_20170515,))#TAB#(loop,(ULM_AllFlavor_20170425,))#TAB#(loop,(Cortana_SpeakerAdapt_20170515,(FIRSTNAME0,)))#TAB#(loop,(Cortana_SpeakerAdapt_20170515,(CONTACT_NAME,(RootRule,))))	0#TAB#0#TAB#0#TAB#0#TAB#0	Harman Kardon	1best_Nbest_single	False	hey cortana call rick	hey cortana call Rick	5	True	True	./audio_423/03F1D3FC1F2486648009328B6CA90B28.wav
04BDF2909DA934949721ACA5080EA87B	333564602E934F1F896185E465E89665	Untagged	hey cortana call bob	hey cortana call bob	hey cortana call bob#TAB#hey cortana call bob#TAB#hey cortana call bob#TAB#hey cortana call Bob#TAB#hey cortana call bob		hey cortana call bob#TAB#hey cortana call bob#TAB#hey cortana call bob#TAB#hey cortana call Bob#TAB#hey cortana call bob					0.9057461#TAB#0.76416266#TAB#0.734929442#TAB#0.734929442#TAB#0.734929442	1431.34766#TAB#1431.34766#TAB#1431.34766#TAB#1431.34766#TAB#1431.34766	-170.903458#TAB#-218.787064#TAB#-225.8398#TAB#-232.303986#TAB#-236.990341	Default	636E2FDEE3E94E699C59B56B023DD3AE	Voice	2017-05-18 06:10:34	en-US	0	0	-3935394.25	32959646.0	(loop,(ULM_AllFlavor_20170425,))#TAB#(loop,(Cortana_SpeakerAdapt_20170516,))#TAB#(loop,(Cortana_SpeakerAdapt_20170516,))#TAB#(loop,(Cortana_SpeakerAdapt_20170516,(CONTACT_NAME,(RootRule,))))#TAB#(loop,(Cortana_SpeakerAdapt_20170516,(FIRSTNAME0,)))	0#TAB#0#TAB#0#TAB#0#TAB#0	Harman Kardon	1best_Nbest_single	False	hey cortana call bob	hey cortana call Bob	4	True	True	./audio_423/04BDF2909DA934949721ACA5080EA87B.wav
04F99FE2BBE7D7749D3718E2F0E5C75C	861CF8D0E1D8403AA15705F98FB51A8D	Untagged	hey cortana call river	hey cortana call river	hey cortana call river#TAB#hey cortana call river#TAB#hey cortana call river#TAB#hey cortana call rover		hey cortana call river#TAB#hey cortana call river#TAB#hey cortana call river#TAB#hey cortana call rover					0.870458245#TAB#0.7990056#TAB#0.7990056#TAB#0.7370268	1909.70813#TAB#1909.70813#TAB#1909.70813#TAB#1874.90686	-222.732162#TAB#-254.176#TAB#-259.8402#TAB#-261.008331	Default	139C926DC0D346DDA28A9C1B83DBDED1	Voice	2017-05-23 19:20:45	en-US	0	0	-5128854.0	43974856.0	(loop,(ULM_AllFlavor_20170425,))#TAB#(loop,(Cortana_SpeakerAdapt_20170522,(CONTACT_NAME,(RootRule,))))#TAB#(loop,(Cortana_SpeakerAdapt_20170522,))#TAB#(loop,(ULM_AllFlavor_20170425,))	0#TAB#0#TAB#0#TAB#1	Harman Kardon	1best_Nbest_single	False	hey cortana call river	hey cortana call river	2	True	True	./audio_423/04F99FE2BBE7D7749D3718E2F0E5C75C.wav
05972EF5A06BA484B90742951C37C993	E9E9DD55DACB49738F6C8716E6B6B5EF	Untagged	hey cortana call bob robbins	hey cortana call bob robbins	hey cortana call bob robbins#TAB#hey cortana call Bob Roberts#TAB#hey cortana call bob robins#TAB#hey cortana call bob robbins#TAB#hey cortana call bob roberts		hey cortana call bob robbins#TAB#hey cortana call Bob Roberts#TAB#hey cortana call bob robins#TAB#hey cortana call bob robbins#TAB#hey cortana call bob roberts					0.8336415#TAB#0.822017968#TAB#0.7873252#TAB#0.7873252#TAB#0.785000265	1725.2627#TAB#1639.47412#TAB#1725.2627#TAB#1725.2627#TAB#1639.47412	-301.69812#TAB#-230.441071#TAB#-362.1286#TAB#-364.516571#TAB#-281.424133	Default	CE0D1C7AB7CC443A9FB96265FAA921C9	Voice	2017-05-17 01:47:04	en-US	0	0	-6947203.5	39727628.0	(loop,(ULM_AllFlavor_20170425,))#TAB#(loop,(Cortana_SpeakerAdapt_20170515,(CONTACT_NAME,(RootRule,))))#TAB#(loop,(ULM_AllFlavor_20170425,))#TAB#(loop,(Cortana_SpeakerAdapt_20170515,(SURNAME0,)))#TAB#(loop,(ULM_AllFlavor_20170425,))	0#TAB#1#TAB#0#TAB#0#TAB#1	Harman Kardon	1best_Nbest_single	False	hey cortana call bob robbins	hey cortana call Bob Roberts	2	False	False	./audio_423/05972EF5A06BA484B90742951C37C993.wav
